instance,group,formulation,lower_bound,upper_bound,time,variables,constraints,optimal
j3030_2,j3030,continuous,68,68,27.32,997,1882,True
j3030_3,j3030,discrete,55,55,1.68,776,327,True
j3030_3,j3030,continuous,55,55,32.86,985,1878,True
j3030_4,j3030,discrete,53,53,1.02,762,331,True
j3030_4,j3030,continuous,53,53,6.75,961,1825,True
j3030_5,j3030,discrete,54,54,962.82,866,359,True
j3030_5,j3030,continuous,54,54,9.75,985,1865,True
j3030_6,j3030,discrete,62,62,1100.37,1006,375,True
j3030_6,j3030,continuous,62,62,62.62,1025,1940,True
j3030_7,j3030,discrete,68,68,8.58,1135,415,True
j3030_7,j3030,continuous,68,68,9.75,933,1770,True
j3030_8,j3030,discrete,46,46,1.94,786,303,True
j3030_8,j3030,continuous,46,46,49.68,1093,2056,True
j3030_9,j3030,discrete,46,46,2.34,660,307,True
j3030_9,j3030,continuous,46,46,63.03,1121,2120,True
j3031_10,j3031,discrete,55,55,8.17,704,327,True
j3031_10,j3031,continuous,55,55,74.74,981,1865,True
j3031_1,j3031,discrete,43,43,0.15,589,275,True
j3031_1,j3031,continuous,43,43,0.28,1125,2117,True
j3031_2,j3031,discrete,63,63,0.12,870,343,True
j3031_2,j3031,continuous,63,63,0.05,1117,2111,True
j3031_3,j3031,discrete,58,58,0.21,641,331,True
j3031_3,j3031,continuous,58,58,0.18,1049,2022,True
j3031_4,j3031,discrete,50,50,0.11,652,291,True
j3031_4,j3031,continuous,50,50,0.08,1081,2037,True
j3031_5,j3031,discrete,52,52,0.83,971,347,True
j3031_5,j3031,continuous,52,52,4.79,973,1840,True
j3031_6,j3031,discrete,53,53,0.28,701,307,True
j3031_6,j3031,continuous,53,53,0.19,1105,2078,True
j3031_7,j3031,discrete,61,61,0.18,717,355,True
j3031_7,j3031,continuous,61,61,0.5,993,1910,True
j3031_8,j3031,discrete,58,58,0.19,617,335,True
j3031_8,j3031,continuous,58,58,0.65,1013,1943,True
j3031_9,j3031,discrete,50,50,1.39,723,315,True
j3031_9,j3031,continuous,50,50,28.62,1021,1950,True
